country,continent,year,lifeExp,pop,gdpPercap,avg_life,avg_gdp,total_pop
Afghanistan,Asia,1952,28.801,8425333,779.4453145,46.31439393939394,5195.484004039394,1395357351
Afghanistan,Asia,1957,30.332,9240934,820.8530296,49.318544242424245,5787.732939942424,1562780599
Afghanistan,Asia,1962,31.997,10267083,853.10071,51.56322303030303,5729.369624775758,1696357182
Afghanistan,Asia,1967,34.02,11537966,836.1971382,54.66364,5971.1733736060605,1905662900
Afghanistan,Asia,1972,36.088,13079460,739.9811058,57.31926909090909,8187.468699448485,2150972248
Afghanistan,Asia,1977,38.438,14880372,786.11336,59.61055636363636,7791.314019930303,2384513556
Afghanistan,Asia,1982,39.854,12881816,978.0114388,62.617939393939395,7434.135157484849,2610135582
Afghanistan,Asia,1987,40.822,13867957,852.3959448,64.85118181818181,7608.226507730303,2871220762
Afghanistan,Asia,1992,41.674,16317921,649.3413952,66.53721212121212,8639.690247730303,3133292191
Afghanistan,Asia,1997,41.763,22227415,635.341351,68.02051515151516,9834.093295248485,3383285500
Afghanistan,Asia,2002,42.129,25268405,726.7340548,69.2338787878788,10174.090396578787,3601802203
Afghanistan,Asia,2007,43.828,31889923,974.5803384,70.72848484848485,12473.026870133333,3811953827
Albania,Europe,1952,55.23,1282697,1601.056136,64.4085,5661.0574347599995,418120846
Albania,Europe,1957,59.28,1476505,1942.284244,66.70306666666667,6963.0128159333335,437890351
Albania,Europe,1962,64.82,1728137,2312.888958,68.53923333333333,8365.4868143,460355155
Albania,Europe,1967,66.22,1984060,2760.196931,69.7376,10143.823756533333,481178958
Albania,Europe,1972,67.69,2263554,3313.422188,70.77503333333334,12479.575246466666,500635059
Albania,Europe,1977,68.93,2509048,3533.00391,71.93776666666666,14283.979109599999,517164531
Albania,Europe,1982,70.42,2780097,3630.880722,72.8064,15617.896551233333,531266901
Albania,Europe,1987,72,3075321,3738.932735,73.64216666666667,17214.31072663333,543094160
Albania,Europe,1992,71.581,3326498,2497.437901,74.4401,17061.5680842,558142797
Albania,Europe,1997,72.95,3428038,3193.054604,75.50516666666667,19076.7818016,568944148
Albania,Europe,2002,75.651,3508512,4604.211737,76.7006,21711.732422433335,578223869
